Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_89_15,VPWR,li1,15.1800,252.9600,1.799989
FILLER_89_3,VPWR,li1,9.6600,252.9600,1.799989
FILLER_88_561,VPWR,li1,263.8100,252.9600,1.799929
FILLER_88_557,VPWR,li1,262.6600,252.9600,1.799929
FILLER_88_545,VPWR,li1,258.9800,252.9600,1.799929
FILLER_88_533,VPWR,li1,253.4600,252.9600,1.799929
FILLER_88_531,VPWR,li1,250.0100,252.9600,1.799929
FILLER_88_525,VPWR,li1,248.4000,252.9600,1.799929
FILLER_88_513,VPWR,li1,244.2600,252.9600,1.799929
FILLER_88_501,VPWR,li1,238.7400,252.9600,1.799929
FILLER_88_489,VPWR,li1,233.2200,252.9600,1.799929
FILLER_88_477,VPWR,li1,227.7000,252.9600,1.799929
FILLER_88_470,VPWR,li1,223.1000,252.9600,1.799929
FILLER_88_458,VPWR,li1,218.9600,252.9600,1.799929
FILLER_88_441,VPWR,li1,208.6100,252.9600,1.799936
FILLER_88_433,VPWR,li1,206.5400,252.9600,1.799938
FILLER_88_421,VPWR,li1,201.9400,252.9600,1.799943
FILLER_88_416,VPWR,li1,197.8000,252.9600,1.799948
FILLER_88_404,VPWR,li1,194.1200,252.9600,1.799952
FILLER_88_392,VPWR,li1,188.6000,252.9600,1.799958
FILLER_88_382,VPWR,li1,181.7000,252.9600,1.799966
FILLER_88_373,VPWR,li1,177.5600,252.9600,1.799971
FILLER_88_365,VPWR,li1,175.2600,252.9600,1.799975
FILLER_88_361,VPWR,li1,172.2700,252.9600,1.799972
FILLER_88_352,VPWR,li1,167.6700,252.9600,1.799966
FILLER_88_333,VPWR,li1,159.6200,252.9600,1.799957
FILLER_88_326,VPWR,li1,155.7100,252.9600,1.799952
FILLER_88_302,VPWR,li1,145.8200,252.9600,1.799944
FILLER_88_293,VPWR,li1,140.5300,252.9600,1.799941
FILLER_88_277,VPWR,li1,133.4000,252.9600,1.799936
FILLER_88_249,VPWR,li1,120.7500,252.9600,1.799931
FILLER_88_241,VPWR,li1,118.2200,252.9600,1.799929
FILLER_88_209,VPWR,li1,102.1200,252.9600,1.799924
FILLER_88_197,VPWR,li1,98.9000,252.9600,1.799923
FILLER_88_192,VPWR,li1,94.7600,252.9600,1.799922
FILLER_88_182,VPWR,li1,89.9300,252.9600,1.799920
FILLER_88_165,VPWR,li1,81.8800,252.9600,1.799924
FILLER_88_157,VPWR,li1,79.5800,252.9600,1.799927
FILLER_88_141,VPWR,li1,72.2200,252.9600,1.799934
FILLER_88_139,VPWR,li1,69.6900,252.9600,1.799939
FILLER_88_133,VPWR,li1,68.0800,252.9600,1.799939
FILLER_88_121,VPWR,li1,63.9400,252.9600,1.799943
FILLER_88_109,VPWR,li1,58.4200,252.9600,1.799950
FILLER_88_97,VPWR,li1,52.9000,252.9600,1.799955
FILLER_88_85,VPWR,li1,47.3800,252.9600,1.799961
FILLER_88_83,VPWR,li1,43.9300,252.9600,1.799966
FILLER_88_77,VPWR,li1,42.3200,252.9600,1.799966
FILLER_88_65,VPWR,li1,38.1800,252.9600,1.799971
FILLER_88_53,VPWR,li1,32.6600,252.9600,1.799977
FILLER_88_41,VPWR,li1,27.1400,252.9600,1.799983
FILLER_88_29,VPWR,li1,21.6200,252.9600,1.799989
FILLER_88_27,VPWR,li1,18.1700,252.9600,1.799989
FILLER_88_15,VPWR,li1,15.1800,252.9600,1.799989
FILLER_88_3,VPWR,li1,9.6600,252.9600,1.799989
FILLER_87_561,VPWR,li1,263.8100,247.5200,1.799896
FILLER_87_559,VPWR,li1,262.8900,247.5200,1.799896
FILLER_87_553,VPWR,li1,261.2800,247.5200,1.799896
FILLER_87_541,VPWR,li1,257.1400,247.5200,1.799896
FILLER_87_529,VPWR,li1,251.6200,247.5200,1.799896
FILLER_87_517,VPWR,li1,246.1000,247.5200,1.799896
FILLER_87_505,VPWR,li1,240.5800,247.5200,1.799896
FILLER_87_502,VPWR,li1,236.9000,247.5200,1.799896
FILLER_87_490,VPWR,li1,233.6800,247.5200,1.799896
FILLER_87_464,VPWR,li1,221.7200,247.5200,1.799897
FILLER_87_429,VPWR,li1,205.6200,247.5200,1.799903
FILLER_87_417,VPWR,li1,200.1000,247.5200,1.799907
FILLER_87_407,VPWR,li1,193.2000,247.5200,1.799912
FILLER_87_391,VPWR,li1,185.6100,247.5200,1.799925
FILLER_87_387,VPWR,li1,184.4600,247.5200,1.799925
FILLER_87_365,VPWR,li1,173.6500,247.5200,1.799945
FILLER_87_353,VPWR,li1,169.2800,247.5200,1.799936
FILLER_87_323,VPWR,li1,154.5600,247.5200,1.799908
FILLER_87_297,VPWR,li1,143.0600,247.5200,1.799889
FILLER_87_279,VPWR,li1,134.0900,247.5200,1.799877
FILLER_87_275,VPWR,li1,132.9400,247.5200,1.799877
FILLER_87_240,VPWR,li1,116.8400,247.5200,1.799863
FILLER_87_231,VPWR,li1,112.0100,247.5200,1.799860
FILLER_87_225,VPWR,li1,110.4000,247.5200,1.799859
FILLER_87_207,VPWR,li1,100.9700,247.5200,1.799857
FILLER_87_203,VPWR,li1,99.8200,247.5200,1.799857
FILLER_87_187,VPWR,li1,92.0000,247.5200,1.799857
FILLER_87_169,VPWR,li1,83.7200,247.5200,1.799860
FILLER_87_162,VPWR,li1,81.4200,247.5200,1.799862
FILLER_87_125,VPWR,li1,64.4000,247.5200,1.799882
FILLER_87_113,VPWR,li1,60.2600,247.5200,1.799891
FILLER_87_111,VPWR,li1,56.8100,247.5200,1.799903
FILLER_87_105,VPWR,li1,55.2000,247.5200,1.799903
FILLER_87_93,VPWR,li1,51.0600,247.5200,1.799912
FILLER_87_81,VPWR,li1,45.5400,247.5200,1.799926
FILLER_87_69,VPWR,li1,40.0200,247.5200,1.799936
FILLER_87_57,VPWR,li1,34.5000,247.5200,1.799948
FILLER_87_55,VPWR,li1,31.0500,247.5200,1.799958
FILLER_87_51,VPWR,li1,29.9000,247.5200,1.799958
FILLER_87_39,VPWR,li1,26.2200,247.5200,1.799966
FILLER_87_27,VPWR,li1,20.7000,247.5200,1.799978
FILLER_87_15,VPWR,li1,15.1800,247.5200,1.799978
FILLER_87_3,VPWR,li1,9.6600,247.5200,1.799978
FILLER_86_561,VPWR,li1,263.8100,247.5200,1.799896
FILLER_86_557,VPWR,li1,262.6600,247.5200,1.799896
