net,length_um
net473,110.42µm
net98,110.41µm
net967,110.32µm
net306,110.2µm
_04360_,110.02µm
net402,109.95µm
_08579_,109.86µm
_07049_,109.73µm
_01744_,109.4µm
_12968_,109.4µm
_13738_,109.2µm
_11506_,109.18µm
net465,109.18µm
net9,109.14µm
_05030_,108.92µm
net937,108.9µm
_02573_,108.64µm
_11571_,108.34µm
net1075,108.34µm
_11294_,107.9µm
_12067_,107.58µm
_04392_,107.45µm
net386,107.4µm
_05029_,107.39µm
_12892_,107.26µm
_09754_,107.12µm
_12569_,107.09µm
_01704_,106.92µm
mantisaresult\[52\],106.9µm
_01603_,106.84µm
net10,106.675µm
net1096,106.66µm
net907,106.53µm
_07381_,106.48µm
net97,106.47µm
_10787_,106.44µm
net374,106.44µm
net196,106.38µm
_13796_,106.2µm
_12023_,105.76µm
_04389_,105.68µm
_06686_,105.6µm
net141,105.6µm
_00577_,105.58µm
mantisaresult\[6\],105.57µm
_11279_,105.38µm
net449,105.38µm
_08173_,105.16µm
net2,105.03µm
_11357_,105µm
net392,104.94µm
_10139_,104.93µm
net673,104.78µm
net437,104.76µm
net1036,104.76µm
net372,104.64µm
_05508_,104.53µm
net1066,104.5µm
_02342_,104.44µm
_11841_,104.18µm
net369,103.98µm
_11786_,103.95µm
_07732_,103.76µm
_13283_,103.75µm
_14536_,103.62µm
net252,103.58µm
net189,103.51µm
_10676_,103.48µm
_12967_,103.48µm
_10163_,103.34µm
net388,103.24µm
net258,103.15µm
net195,103.12µm
net316,102.98µm
net178,102.58µm
_12904_,102.46µm
net203,102.18µm
net495,102µm
net337,101.98µm
net487,101.97µm
_01410_,101.96µm
net579,101.9µm
net363,101.7µm
net297,101.64µm
net309,101.64µm
_13991_,101.6µm
net609,101.58µm
net944,101.46µm
_07223_,101.38µm
net206,101.32µm
_08943_,101.2µm
net383,100.86µm
_12090_,100.68µm
_00850_,100.62µm
net703,100.62µm
net856,100.58µm
net410,100.52µm
net489,100.48µm
_13240_,100.36µm
_11284_,100.3µm
_04333_,100.06µm
_12008_,100.03µm
net217,99.92µm
_05402_,99.88µm
mantisaresult\[11\],99.82µm
_02292_,99.62µm
_14343_,99.61µm
_01925_,99.36µm
_12117_,99.36µm
_06243_,99.3µm
_14342_,99.26µm
net127,99.12µm
net988,99.08µm
net969,98.98µm
_05952_,98.96µm
_13986_,98.9µm
_14465_,98.9µm
_00770_,98.88µm
_11781_,98.79µm
_01956_,98.78µm
_14470_,98.78µm
net1070,98.78µm
_14301_,98.62µm
_00271_,98.54µm
_01977_,98.48µm
mantisaresult\[40\],98.1µm
net694,98.08µm
net398,98.04µm
net964,98.03µm
_05953_,97.99µm
_04809_,97.96µm
net133,97.95µm
net202,97.95µm
net347,97.8µm
_11494_,97.78µm
clknet_leaf_35_clk,97.7µm
net115,97.64µm
clknet_leaf_32_clk,97.46µm
net304,97.34µm
net1058,97.34µm
net182,97µm
net287,96.9µm
_01597_,96.805µm
_12945_,96.78µm
_14319_,96.44µm
net447,96.32µm
net324,96.3µm
_12353_,96.24µm
_06684_,96.18µm
net1080,96.14µm
_07735_,95.94µm
_03011_,95.92µm
_01760_,95.78µm
_04793_,95.72µm
net81,95.68µm
_01419_,95.6µm
_10195_,95.55µm
net156,95.5µm
_03619_,95.36µm
_00990_,95.3µm
net990,95.255µm
_01943_,95.24µm
_01975_,95µm
net135,94.96µm
_03620_,94.92µm
net99,94.92µm
_12077_,94.9µm
net423,94.82µm
_13947_,94.72µm
net154,94.7µm
_09507_,94.68µm
clknet_leaf_11_clk,94.68µm
net889,94.55µm
net581,94.545µm
net1092,94.5µm
net128,94.41µm
clknet_leaf_14_clk,94.38µm
net397,94.26µm
_14558_,94.17µm
_01942_,94.06µm
_13344_,94.02µm
net486,93.98µm
_11928_,93.94µm
net672,93.71µm
net325,93.64µm
net1065,93.34µm
_09535_,93.28µm
net468,93.23µm
_02664_,92.88µm
_12007_,92.85µm
_09145_,92.82µm
_02298_,92.78µm
net955,92.54µm
_04241_,92.5µm
_05650_,92.44µm
net409,92.425µm
_00045_,92.42µm
net1129,92.34µm
_10051_,92.22µm
net434,92.22µm
_12292_,92.1µm
_11269_,91.96µm
net165,91.96µm
_05948_,91.94µm
_03862_,91.85µm
_05336_,91.84µm
net15,91.8µm
net104,91.775µm
net427,91.72µm
_01971_,91.69µm
net349,91.69µm
_11548_,91.68µm
net235,91.53µm
net207,91.38µm
_00594_,91.2µm
_10515_,91.14µm
_12378_,91.04µm
_09751_,91.03µm
_11205_,91µm
net450,90.96µm
net142,90.94µm
mantisaresult\[50\],90.86µm
_01094_,90.73µm
net330,90.7µm
_10358_,90.66µm
_12082_,90.64µm
_08367_,90.52µm
_14466_,90.265µm
_12501_,90.2µm
net226,89.92µm
_00292_,89.9µm
_10007_,89.82µm
net130,89.73µm
_12066_,89.72µm
_11765_,89.54µm
net338,89.28µm
_10193_,89.12µm
mantisaAshift\[61\],89.08µm
_11552_,88.875µm
_11369_,88.83µm
net312,88.8µm
_00828_,88.71µm
net1055,88.68µm
net114,88.64µm
_05403_,88.62µm
_11574_,88.56µm
net187,88.54µm
net932,88.36µm
net100,88.1µm
mantisaAshift\[60\],88.06µm
_04193_,88.02µm
net493,87.92µm
_04005_,87.7µm
_02423_,87.68µm
_12874_,87.66µm
clknet_leaf_21_clk,87.66µm
_12909_,87.64µm
net123,87.49µm
net137,87.42µm
_10029_,87.4µm
_01407_,87.275µm
net354,87.26µm
net393,87.24µm
net335,87.2µm
net430,87.16µm
_11488_,87.06µm
net352,86.96µm
_14331_,86.76µm
net1020,86.66µm
_01887_,86.64µm
_09908_,86.61µm
_11476_,86.55µm
net963,86.46µm
_01600_,86.18µm
_14269_,86.18µm
net412,86.14µm
net1056,86.14µm
_13348_,86.12µm
_09316_,86.04µm
_03422_,86.02µm
_10916_,85.82µm
_05032_,85.78µm
_09934_,85.72µm
_08855_,85.7µm
_03500_,85.61µm
_11501_,85.6µm
net387,85.6µm
net452,85.58µm
_14217_,85.54µm
_09750_,85.535µm
_09506_,85.38µm
_12241_,85.38µm
net215,85.33µm
_00040_,85.285µm
_11288_,85.28µm
_02629_,85.12µm
mantisaAshift\[58\],85.12µm
_07931_,84.98µm
net467,84.98µm
_14546_,84.9µm
net365,84.9µm
_08345_,84.88µm
_08042_,84.86µm
_13736_,84.84µm
expmiddlec\[0\],84.66µm
_02669_,84.64µm
net982,84.56µm
net243,84.54µm
net926,84.48µm
_12438_,84.46µm
net139,84.46µm
clknet_leaf_34_clk,84.42µm
net284,84.31µm
_09769_,84.24µm
_14553_,84.24µm
mantisaresult\[42\],84.105µm
_03517_,84.04µm
net440,84µm
net958,84µm
mantisaresult\[55\],83.9µm
_02927_,83.78µm
net886,83.69µm
net968,83.64µm
_05337_,83.54µm
_01602_,83.4µm
net171,83.39µm
_04116_,83.27µm
net975,83.2µm
_09265_,83.02µm
_14046_,82.98µm
_10367_,82.96µm
_01405_,82.82µm
_11763_,82.465µm
_00453_,82.3µm
_00856_,82.26µm
_00047_,82µm
_01858_,81.97µm
net406,81.96µm
net183,81.88µm
net956,81.88µm
_13226_,81.82µm
_04811_,81.74µm
net194,81.72µm
net367,81.67µm
_04136_,81.62µm
_09331_,81.59µm
_11750_,81.48µm
_02692_,81.42µm
net144,81.42µm
_09350_,81.335µm
_13478_,81.3µm
_14020_,81.23µm
_06924_,81.16µm
_09414_,81.145µm
mantisaAshift\[63\],81.12µm
_11990_,81.04µm
_01376_,80.96µm
_10707_,80.96µm
net464,80.96µm
_11322_,80.9µm
_10736_,80.84µm
_00882_,80.8µm
_01404_,80.69µm
_11977_,80.69µm
_05636_,80.66µm
_11352_,80.64µm
net965,80.62µm
_12697_,80.58µm
_14547_,80.46µm
_11782_,80.33µm
_01286_,80.3µm
_06926_,80.25µm
_10873_,80.12µm
_13969_,79.96µm
_11163_,79.94µm
net225,79.92µm
_00039_,79.845µm
_03004_,79.84µm
_13666_,79.8µm
_03735_,79.58µm
net431,79.58µm
_12113_,79.52µm
_00892_,79.44µm
_02022_,79.4µm
_14623_,79.4µm
net336,79.39µm
net1113,79.36µm
net438,79.345µm
_01231_,79.32µm
net131,79.22µm
net1063,79.16µm
clknet_leaf_17_clk,79.12µm
_01552_,79.02µm
_11456_,78.92µm
_12060_,78.86µm
_01413_,78.84µm
_03848_,78.82µm
_09732_,78.74µm
_12069_,78.74µm
_08561_,78.72µm
_09334_,78.71µm
net134,78.61µm
_01275_,78.52µm
_03891_,78.42µm
_06670_,78.4µm
_09457_,78.4µm
_11272_,78.32µm
_09328_,78.24µm
net446,78.22µm
_00460_,78.02µm
_12869_,77.985µm
net129,77.96µm
_11532_,77.68µm
_05964_,77.62µm
net84,77.62µm
_01590_,77.42µm
_01387_,77.38µm
_12910_,77.38µm
_12688_,77.34µm
_06326_,77.3µm
_09714_,77.28µm
_14468_,77.25µm
net79,77.12µm
_04083_,77.04µm
net351,77µm
_01562_,76.82µm
mantisaAshift\[62\],76.8µm
_10663_,76.74µm
_09656_,76.46µm
_01914_,76.32µm
_11572_,76.32µm
_09965_,76.3µm
_01081_,76.28µm
_12019_,76.26µm
_14071_,76.26µm
_12440_,76.22µm
net433,76.18µm
clknet_leaf_22_clk,76.18µm
_04519_,76.12µm
net379,76.02µm
net181,75.88µm
_13691_,75.76µm
_12915_,75.72µm
net558,75.68µm
net573,75.61µm
_07421_,75.56µm
_01949_,75.36µm
_12499_,75.355µm
_08856_,75.34µm
mantisaresult\[8\],75.34µm
net230,75.34µm
_14135_,75.31µm
_11507_,75.3µm
net74,75.2µm
net166,75.16µm
_06177_,75.12µm
_11189_,75.11µm
_03504_,75.02µm
_14332_,75.02µm
_00062_,74.92µm
net208,74.88µm
mantisaAshift\[53\],74.86µm
_02151_,74.81µm
_05401_,74.64µm
net274,74.6µm
_06683_,74.58µm
_13247_,74.4µm
_02704_,74.36µm
net989,74.22µm
_08774_,74.18µm
_14187_,74.14µm
_04645_,74.1µm
net405,74.04µm
_05169_,74.02µm
_14058_,74µm
net190,74µm
expmiddlec\[1\],73.86µm
_10164_,73.8µm
mantisaresult\[7\],73.74µm
