net,length_um
net536,184.76µm
net665,183.94µm
net350,183.6µm
net518,183.58µm
net785,183.2µm
net302,182.92µm
_06085_,182.6µm
net369,182.46µm
mantisaresult\[9\],182.32µm
net903,182.28µm
net109,181.615µm
net998,181.565µm
net555,181.565µm
net921,181.23µm
net374,180.68µm
_01976_,180.59µm
net749,180.31µm
net143,180.12µm
_00726_,180µm
net811,179.44µm
_05877_,179.26µm
net616,178.06µm
net925,177.92µm
_01992_,177.74µm
net606,177.68µm
net175,177.51µm
net860,177.32µm
_00743_,177.135µm
_01917_,176.77µm
net893,176.5µm
net519,175.59µm
_01972_,175.565µm
_12020_,175.22µm
net815,175.2µm
net108,175.06µm
net701,174.86µm
_12208_,174.365µm
net727,174.34µm
mantisaresult\[8\],174.25µm
net544,173.82µm
net844,173.8µm
net173,173.48µm
_05266_,173.46µm
_04709_,173.24µm
net138,173.23µm
net868,173.02µm
net119,172.91µm
net1079,172.65µm
_12230_,172.48µm
net192,172.32µm
_02143_,171.64µm
_04893_,170.755µm
_13490_,170.28µm
_00432_,170.05µm
net894,169.55µm
net872,169.34µm
net372,169.2µm
net814,167.89µm
net874,167.85µm
_04184_,167.78µm
_03870_,167.575µm
net233,166.795µm
net735,166.34µm
net926,164.54µm
net848,164.5µm
_12511_,164.17µm
_11602_,163.87µm
net110,163.705µm
net412,163.14µm
_02222_,163.04µm
net507,161.53µm
net1075,161.22µm
net902,160.46µm
net648,160.28µm
mantisaresult\[45\],159.92µm
net281,159.86µm
_14960_,159.81µm
_12209_,159.66µm
_11598_,159.36µm
net274,159.22µm
_12508_,158.8µm
_12771_,158.07µm
_05755_,157.56µm
net277,157.12µm
net361,157.1µm
net86,157µm
net152,156.12µm
net567,155.78µm
net641,155.72µm
net750,155.5µm
_01558_,155.41µm
_00486_,154.88µm
net956,154.6µm
net211,154.58µm
net918,154.16µm
_00480_,154.04µm
_08787_,153.96µm
net383,153.815µm
_13793_,153.34µm
net854,153.3µm
net858,153.285µm
_11072_,153.04µm
_01914_,152.69µm
net520,152.19µm
net712,152.02µm
mantisaresult\[11\],152.01µm
net787,151.99µm
net887,151.68µm
net888,151.52µm
_04416_,151.22µm
net373,151.055µm
_00407_,150.32µm
net172,150.28µm
net827,150.24µm
_07067_,150.04µm
expmiddlec\[7\],149.96µm
net879,149.56µm
_02576_,149.45µm
net630,149.14µm
net725,148.86µm
_14675_,148.74µm
_05211_,148.71µm
_06272_,148.71µm
_05243_,148.7µm
_11789_,148.31µm
net300,148.28µm
_05200_,148.25µm
net377,148.17µm
_11808_,147.68µm
net176,147µm
_15033_,146.5µm
_11821_,146.32µm
net351,146.22µm
_03752_,146.015µm
_04892_,145.86µm
net686,145.8µm
net205,145.58µm
net777,145.115µm
_03468_,145.02µm
net914,144.21µm
net237,143.94µm
_00457_,143.84µm
_04448_,143.36µm
_12229_,143.12µm
net897,142.7µm
_12114_,142.65µm
_03722_,142.48µm
_14969_,142.355µm
_11183_,142.28µm
_14423_,141.97µm
net87,141.88µm
_10009_,141.32µm
_06280_,140.71µm
net186,140.65µm
net390,140.28µm
_06284_,139.22µm
net307,139.18µm
net99,138.98µm
net718,138.73µm
_03346_,138.5µm
net235,138.24µm
_05121_,138.22µm
net490,138.16µm
net298,137.88µm
_12427_,137.8µm
net683,137.44µm
_14747_,137.4µm
net316,137.4µm
net288,137.36µm
net650,137.15µm
net919,137.08µm
_00599_,137.04µm
_15027_,136.46µm
_15010_,136.26µm
net60,135.7µm
net1033,135.53µm
_02634_,135.48µm
_14745_,135.25µm
mantisaAshift\[41\],135.16µm
net286,134.62µm
net191,134.24µm
net212,134.06µm
_14987_,133.95µm
_02142_,133.865µm
net882,133.74µm
net293,133.66µm
net204,133.635µm
_04370_,133.54µm
net320,133.4µm
_15023_,132.89µm
net375,132.82µm
net457,132.805µm
_10671_,132.6µm
net366,132.53µm
_04436_,132.48µm
net793,132.37µm
_04440_,132.3µm
_05119_,132.23µm
_11078_,132.13µm
_13833_,132.075µm
net721,131.94µm
_15021_,131.26µm
net255,131.24µm
_04374_,131.15µm
_00001_,131.045µm
_11670_,130.94µm
_02177_,130.92µm
net471,130.9µm
_00410_,130.87µm
net323,130.6µm
net364,130.44µm
_06350_,130.38µm
net878,130.35µm
net289,130.08µm
net231,130.035µm
_05650_,129.84µm
net502,129.76µm
_01891_,129.745µm
net715,129.72µm
net704,129.315µm
net113,129.31µm
_13577_,129.15µm
_15011_,128.92µm
net656,128.68µm
_04394_,128.53µm
_05380_,128.32µm
_02594_,127.32µm
net149,127.02µm
net474,126.98µm
net324,126.7µm
_14247_,126.42µm
_13009_,126.38µm
net486,126.33µm
_04237_,126.29µm
net245,126.22µm
_05519_,125.885µm
net402,125.82µm
_05086_,125.8µm
_15020_,125.8µm
_14472_,125.74µm
_15025_,125.7µm
mantisaresult\[56\],125.59µm
mantisaresult\[15\],125.35µm
net376,125.155µm
_11082_,124.48µm
net185,124.35µm
_02592_,124.32µm
_14759_,124.2µm
mantisaresult\[16\],124.14µm
_01257_,123.92µm
_13313_,123.84µm
net248,123.83µm
_11615_,123.8µm
net329,123.66µm
net745,123.635µm
_05112_,123.52µm
_05638_,123.48µm
mantisaresult\[46\],123.46µm
net710,123.43µm
net962,123.03µm
net363,122.94µm
net112,122.7µm
_14311_,122.3µm
net294,122.28µm
net865,122.04µm
_00464_,122µm
_04511_,121.98µm
_15121_,121.98µm
_03377_,121.94µm
net253,121.7µm
net218,121.64µm
net961,121.64µm
_02593_,121.615µm
_13390_,121.54µm
net359,121.46µm
_11749_,121.4µm
net822,121.34µm
_04384_,121.28µm
clknet_leaf_14_clk,121.26µm
net576,120.98µm
_15009_,120.96µm
net263,120.94µm
net168,120.88µm
_11739_,120.62µm
_15034_,120.62µm
net1077,120.4µm
net171,120.08µm
net246,119.96µm
_02439_,119.84µm
net694,119.77µm
net260,119.38µm
_05053_,119.28µm
_00387_,119.17µm
_00968_,119.16µm
mantisaresult\[55\],119.1µm
net564,119µm
_00386_,118.92µm
net206,118.88µm
expmiddlec\[6\],118.78µm
net367,118.7µm
net1002,118.66µm
_00964_,118.64µm
_06287_,118.38µm
net988,118.27µm
net339,118.19µm
_03345_,118.18µm
_03972_,118.14µm
mantisaAshift\[47\],118.08µm
_04429_,118.06µm
_10958_,117.82µm
_14953_,117.75µm
_00703_,117.74µm
net505,117.58µm
_01199_,117.45µm
_00708_,117.29µm
_11637_,117.04µm
net342,117.02µm
_06279_,116.82µm
_04753_,116.18µm
_11791_,116.09µm
clknet_leaf_13_clk,116.06µm
net270,116.03µm
net838,115.97µm
net219,115.72µm
_10447_,115.62µm
_05993_,115.54µm
_08388_,115.46µm
mantisaAshift\[62\],115.2µm
_14279_,115.06µm
_08482_,115.02µm
net365,114.7µm
_00977_,114.66µm
net343,114.64µm
_08726_,114.56µm
_10566_,114.48µm
_05992_,114.47µm
_08038_,114.44µm
_02569_,114.38µm
_14301_,113.94µm
net896,113.565µm
_00388_,113.46µm
_13792_,113.14µm
_04708_,112.96µm
_03367_,112.81µm
_08940_,112.59µm
mantisaresult\[47\],112.53µm
_08711_,112.37µm
net957,112.18µm
net371,112µm
net833,111.98µm
net752,111.94µm
net963,111.66µm
_11816_,111.275µm
_12202_,111.24µm
net195,111.04µm
_06292_,110.94µm
net97,110.84µm
net279,110.84µm
_02878_,110.81µm
_06217_,110.7µm
mantisaresult\[48\],110.66µm
net901,110.6µm
_13835_,110.54µm
_03567_,110.5µm
net210,110.5µm
net188,110.445µm
_15002_,110.16µm
_10955_,109.97µm
net451,109.86µm
net268,109.83µm
_03404_,109.68µm
net207,109.66µm
clknet_leaf_29_clk,109.64µm
_00621_,109.41µm
_00443_,109.27µm
_14426_,109.21µm
_11621_,109.16µm
_13760_,109.11µm
net1013,109.11µm
_00392_,109µm
_04381_,108.92µm
_00705_,108.86µm
_03378_,108.855µm
net403,108.82µm
net272,108.56µm
net425,108.56µm
_02833_,108.54µm
_00037_,108.405µm
_02110_,108.24µm
_14373_,108.19µm
net987,108.14µm
_11054_,108.08µm
_11039_,108.04µm
net867,107.92µm
_04182_,107.815µm
_00971_,107.79µm
_14995_,107.63µm
clknet_leaf_24_clk,107.48µm
net488,107.08µm
_10011_,106.8µm
expmiddlec\[0\],106.52µm
_00038_,106.185µm
_06282_,106.05µm
_00455_,106.01µm
_05245_,105.92µm
mantisaAshift\[59\],105.84µm
_00065_,105.8µm
net382,105.79µm
net116,105.54µm
_08771_,105.47µm
net831,105.45µm
_06229_,105.3µm
_00755_,105.24µm
net511,105.06µm
net960,105.04µm
net266,104.98µm
_12490_,104.9µm
_00907_,104.78µm
net190,104.78µm
net426,104.78µm
_11643_,104.77µm
_15125_,104.73µm
net55,104.56µm
_05093_,104.44µm
_11608_,104.36µm
mantisaAshift\[60\],104.3µm
_08033_,104.19µm
_14160_,104.12µm
mantisaAshift\[42\],104.08µm
net340,104.02µm
net308,103.97µm
net174,103.88µm
net115,103.75µm
_00295_,103.65µm
_11778_,103.56µm
_13643_,103.56µm
net311,103.56µm
_04487_,103.43µm
_11734_,103.36µm
net913,103.3µm
_01012_,103.28µm
_00436_,103.14µm
_04501_,103.135µm
_00364_,103.02µm
_11042_,103.02µm
net639,102.975µm
net197,102.82µm
_11356_,102.8µm
_12050_,102.76µm
