net,length_um
net99,508.1µm
net1046,508.06µm
net1729,506.39µm
net601,504.5µm
net626,501.55µm
net1682,498.44µm
_03009_,495.58µm
add_mantisa\[15\],495.42µm
net1755,495.27µm
net649,493.69µm
net1743,493.45µm
_17453_,492.49µm
net100,492.42µm
reorder_buf_instance.value1\[29\],492.34µm
net1255,491.445µm
reorder_buf_instance.value1\[22\],490.555µm
_03655_,490.1µm
net850,489.88µm
net1759,488.83µm
net1713,487.13µm
net8,487.06µm
_17522_,487.03µm
net1697,486.47µm
add_mantisa\[8\],486.26µm
net1683,485.97µm
reorder_buf_instance.value0\[14\],485.94µm
net1209,485.46µm
net641,484.81µm
net9,484.47µm
net630,482.8µm
net92,481µm
net1200,480.12µm
net1481,480.01µm
_03256_,479.58µm
net1756,479.53µm
net865,479.275µm
net1516,478.97µm
net98,478.95µm
net1687,477.59µm
net1600,476.39µm
net1601,475.89µm
_21639_,475.88µm
net1068,472.315µm
net748,472.2µm
net578,471.65µm
net709,471.31µm
add_mantisa\[12\],470.26µm
net568,470.04µm
_18386_,469.82µm
net1275,466.83µm
net1262,466.82µm
net1765,466.43µm
net895,466.33µm
net1459,466.22µm
net788,466µm
net97,464.48µm
net1734,464.17µm
_17387_,462.18µm
net751,461.76µm
net14,461.46µm
net1762,461.08µm
net57,460.72µm
add_exp\[5\],460.46µm
net15,460.27µm
_02735_,460.24µm
net1261,459.82µm
clknet_5_0__leaf_clk,459.76µm
net1702,459.56µm
net1283,458.92µm
net1733,458.78µm
net13,458.76µm
net878,457.84µm
net570,457.59µm
net1252,457.51µm
_09564_,457.07µm
add_mantisa\[10\],456.79µm
_17455_,456.755µm
net1668,456.38µm
add_exp\[2\],454.4µm
_03589_,453.685µm
net1202,452.57µm
net843,452.35µm
net23,451.72µm
net1513,451.62µm
net1491,451.28µm
net664,450.47µm
net10,449.42µm
net1669,446.86µm
add_mantisa\[5\],446.34µm
reorder_buf_instance.value1\[21\],445.98µm
net1672,444.2µm
net1660,443.4µm
net796,442.89µm
net770,442.86µm
net1666,442.66µm
net1507,441.92µm
net950,441.72µm
net11,441.4µm
net1676,440.92µm
net1423,439.23µm
net1405,438.94µm
net1055,437.145µm
net1744,437.06µm
_17319_,436.86µm
net1483,436.7µm
net1694,436.56µm
reorder_buf_instance.value2\[17\],436.39µm
_17389_,435.88µm
_18380_,435.58µm
net1142,435.48µm
add_exp\[7\],435.46µm
net1634,435.23µm
net1757,435.18µm
reorder_buf_instance.value1\[10\],435.12µm
net1455,434.845µm
multiplier_instance.PPG.B\[20\],434.77µm
net705,434.55µm
net778,434.24µm
net1784,434.16µm
net1536,434.06µm
net12,432.81µm
reorder_buf_instance.value0\[3\],432.79µm
net654,431.82µm
net1679,430.63µm
net566,430.27µm
net1465,428.58µm
net1129,428.34µm
net87,426.4µm
divider_instance.mantisaBshift\[7\],424.7µm
net804,424.28µm
net1475,423.92µm
net1665,423.67µm
mult_exp\[2\],423.62µm
net1137,422.83µm
net614,421.67µm
net686,421.37µm
net736,420.13µm
net1726,420µm
net1547,419.32µm
net1690,419.32µm
net22,419.15µm
net1181,418.67µm
net1206,417.91µm
net1266,417.91µm
net1722,416.86µm
net1218,416.45µm
net1525,416.26µm
mult_exp\[5\],416.14µm
net816,415.5µm
add_mantisa\[3\],415.02µm
net708,414.03µm
net1222,413.95µm
net711,413.65µm
net1750,412.98µm
net1770,412.96µm
net1468,412.94µm
net327,411.735µm
net1276,411.41µm
mult_exp\[4\],410.9µm
net1190,410.87µm
net1182,410.855µm
net1681,410.47µm
net1248,410.11µm
net1738,409µm
mult_exp\[1\],408.97µm
net1382,408.97µm
net558,407.92µm
net1445,407.92µm
net1723,407.8µm
net6,407.3µm
net1478,407.05µm
net754,405.99µm
net1711,405.92µm
net774,405µm
net846,404.17µm
add_mantisa\[9\],403.1µm
net784,402.74µm
add_mantisa\[13\],402.58µm
net1774,402.38µm
net1277,401.61µm
net1703,401.5µm
net1649,401.45µm
_11217_,401.4µm
net1736,401.02µm
net1662,400.57µm
net1203,400.31µm
_18373_,399.65µm
net17,399.18µm
net339,398.24µm
net618,397.42µm
net1732,396.91µm
net1751,396.8µm
net1210,396.66µm
net1509,396.12µm
add_mantisa\[1\],396.02µm
net1696,395.425µm
net21,395µm
add_exp\[0\],394.25µm
_17728_,394.2µm
net903,393.37µm
reorder_buf_instance.value2\[2\],393.28µm
net562,393.025µm
_02795_,392.72µm
net1449,390.89µm
reorder_buf_instance.value1\[19\],390.7µm
net1183,388.66µm
net1549,388.2µm
net1741,387.86µm
net1393,387.52µm
net758,387.34µm
net835,387.32µm
net946,387.28µm
net1201,387.24µm
net800,387.06µm
net776,386.58µm
net2075,386.13µm
net713,386.01µm
net792,384.99µm
net594,384.76µm
_03012_,384.65µm
net1505,384.09µm
net1748,383.73µm
net1238,383.665µm
net673,383.55µm
net1781,383.3µm
net1637,382.77µm
net1769,382.27µm
net1714,381.68µm
net747,381.5µm
net683,381.27µm
_02792_,380.66µm
net876,380.12µm
net1095,379.3µm
net586,378.86µm
_18388_,378.36µm
net596,377.91µm
net1191,377.835µm
_16772_,376.78µm
net1240,376.43µm
net602,376.23µm
net647,373.885µm
net755,373.355µm
net608,372.93µm
_07190_,372.78µm
net721,372.42µm
_16585_,370.21µm
net1427,370.16µm
add_mantisa\[7\],370.15µm
net814,369.97µm
net606,369.85µm
net1384,369.34µm
net1708,369.14µm
multiplier_instance.PPG.B\[22\],369.11µm
net1064,368.7µm
net1575,368.56µm
net1163,368.515µm
net560,367.69µm
net723,367.65µm
net806,367.65µm
net1658,367.52µm
net1768,367.475µm
clknet_5_10__leaf_clk,366.82µm
net1699,365.72µm
net27,364.78µm
net1174,364.73µm
add_mantisa\[14\],364.56µm
net1684,364.51µm
net1670,364.44µm
net633,364.14µm
clknet_5_11__leaf_clk,363.91µm
net1130,363.77µm
net1493,363.21µm
net859,362.75µm
net894,361.84µm
net1133,361.21µm
net1499,361.18µm
net695,361.08µm
add_mantisa\[11\],360.16µm
net604,358.715µm
multiplier_instance.PPG.B\[19\],358.42µm
net964,358.38µm
net610,358.32µm
net1253,358.18µm
net590,357.94µm
net1414,357.72µm
net628,357.69µm
net1555,357.58µm
net1735,357.42µm
net802,357.065µm
net717,356.66µm
net899,356.26µm
net694,356.135µm
net1787,356µm
net848,355.59µm
net640,355.24µm
net1263,354.425µm
net1224,354.09µm
net321,353.58µm
net240,353.56µm
net691,353.37µm
net1166,352.92µm
net1227,352.64µm
net1504,352.4µm
net325,352.01µm
_07189_,351.96µm
net1381,351.54µm
reorder_buf_instance.value1\[17\],351.43µm
net829,350.79µm
net1779,350.5µm
net842,350.405µm
net1657,350.23µm
net1177,350.1µm
net1226,350.095µm
clknet_5_23__leaf_clk,349.84µm
divider_instance.mantisaBshift\[9\],349.74µm
net1754,349.66µm
net771,347.7µm
net1583,347.28µm
net598,347.22µm
net1401,347.06µm
net1663,346.06µm
net1435,345.8µm
net251,345.52µm
net952,345.3µm
net1144,345.09µm
net1225,344.49µm
mult_exp\[3\],343.84µm
net1269,343.51µm
net1463,343.49µm
net1654,343.26µm
net668,343.01µm
net834,342.63µm
net1520,342.55µm
reorder_buf_instance.value2\[21\],342.23µm
net581,342.1µm
net741,341.74µm
net879,341.66µm
add_exp\[3\],341.36µm
net616,341.21µm
net557,340.72µm
net1675,340.62µm
multiplier_instance.PPG.A\[10\],340.41µm
net634,339.75µm
net1778,339.75µm
net1294,339.56µm
net1705,339.36µm
net1230,338.75µm
net852,338.68µm
net811,338.075µm
net648,337.96µm
net738,337.39µm
net762,337.39µm
multiplier_instance.PPG.B\[13\],337.34µm
net745,337.065µm
clknet_5_8__leaf_clk,336.98µm
net1678,336.62µm
net642,335.78µm
net1065,335.05µm
net644,334.65µm
net853,334.13µm
reorder_buf_instance.value1\[8\],333.8µm
net1212,333.56µm
net20,333.04µm
net666,332.66µm
net1651,332.56µm
net808,331.62µm
multiplier_instance.PPG.B\[14\],331.44µm
net1282,331.44µm
net1167,331.35µm
net636,331.28µm
net1149,329.24µm
net343,329µm
net679,327.97µm
net855,327.57µm
net1246,327.5µm
adder_buffer.out\[37\],326.92µm
net1771,326.8µm
net355,325.93µm
mult_mantisa\[16\],325.74µm
net682,325.45µm
net765,325.29µm
_16695_,325.25µm
net1032,324.29µm
net1474,323.7µm
net687,323.69µm
net1339,323.2µm
net624,323.04µm
net235,322.74µm
_10340_,322.49µm
net826,322.26µm
net1214,322.12µm
clknet_5_9__leaf_clk,321.82µm
net1237,321.005µm
net1653,320.86µm
net1527,320.78µm
net1531,320.74µm
net622,320.43µm
net1154,320.22µm
net817,319.97µm
net1783,319.69µm
_11433_,318.94µm
net580,318.81µm
net1402,318.33µm
net818,317.88µm
net697,316.92µm
_16552_,316.91µm
net631,316.54µm
net1161,316.53µm
net1153,315.625µm
net1776,315.61µm
net810,315.13µm
net700,315.1µm
net822,314.75µm
net31,314.64µm
net2,314.16µm
net347,314.08µm
net7,314.07µm
net651,313.9µm
_16684_,313.54µm
clknet_5_31__leaf_clk,313.41µm
net1496,313.22µm
net786,312.89µm
net1673,312.78µm
net1777,312.74µm
net1561,312.67µm
net1691,312.63µm
net336,312.18µm
net1523,312.11µm
net1127,311.96µm
net719,311.32µm
reorder_buf_instance.value2\[0\],311.15µm
net600,311.11µm
net1775,310.31µm
multiplier_instance.PPG.B\[18\],310.26µm
net900,310.24µm
multiplier_instance.PPG.B\[8\],310.22µm
net1639,310.08µm
net1717,309.4µm
net744,309.15µm
net1648,309.06µm
net760,308.92µm
net750,308.82µm
net1233,308.57µm
net101,308.44µm
net632,308.16µm
net588,307.86µm
net689,307.84µm
net1646,307.74µm
net1636,307.53µm
net16,307.36µm
net863,306.67µm
net812,306.63µm
net1767,305.89µm
_12161_,305.79µm
_02794_,305.505µm
net828,305.11µm
net832,305.06µm
_10834_,304.88µm
net1148,304.76µm
net888,304.72µm
net584,304.6µm
net1473,304.59µm
add_mantisa\[2\],304.26µm
net782,304.2µm
net317,303.76µm
net5,303.73µm
net656,303.67µm
net1609,303.6µm
clknet_5_12__leaf_clk,303.6µm
net1554,303.2µm
net902,302.74µm
_07188_,302.59µm
net638,301.81µm
net715,301.47µm
net1655,301.46µm
net1541,301.39µm
net1482,301.295µm
net1629,300.89µm
net646,300.41µm
net1647,300.35µm
net896,299.57µm
net1176,299.34µm
_07184_,299.12µm
net1568,298.98µm
net1156,298.93µm
net1232,298.89µm
_03587_,298.65µm
net892,298.59µm
reorder_buf_instance.value2\[5\],298.38µm
net1420,298.18µm
net1588,298.1µm
net1780,297.68µm
net1059,297.39µm
net1067,297.27µm
net820,296.96µm
net1550,296.56µm
net1399,296.47µm
net145,296.38µm
net1587,296.34µm
net761,296.26µm
net1633,296.04µm
net869,295.685µm
net3,295.04µm
net592,294.24µm
net1506,293.66µm
net1128,293.56µm
net231,292.6µm
net2012,292.58µm
net675,292.49µm
net1268,292.46µm
reorder_buf_instance.value0\[2\],292.44µm
net790,292.12µm
net1495,292.03µm
net1173,291.82µm
net672,291.7µm
net1304,291.58µm
clknet_5_5__leaf_clk,291.52µm
net1492,290.815µm
net1125,290.6µm
divider_instance.mantisaBshift\[10\],290.01µm
net1041,289.72µm
net1606,289.45µm
net1652,289.4µm
net948,288.4µm
net1419,288.09µm
net2027,288.02µm
net1217,287.97µm
net837,287.46µm
net1431,287.1µm
net1992,287.1µm
net1436,286.98µm
net927,286.96µm
net564,286.37µm
net1164,286.25µm
net1439,286.05µm
net801,285.47µm
net572,285.45µm
net1993,285.19µm
clknet_5_6__leaf_clk,285.14µm
add_mantisa\[0\],284.66µm
net1229,284.525µm
net712,284.52µm
net1704,284.42µm
net1186,284.22µm
net1656,283.53µm
reorder_buf_instance.value0\[13\],283.44µm
net838,283.2µm
net757,283.18µm
net1132,282.51µm
net1260,282.38µm
net4,282.37µm
mult_mantisa\[15\],282.35µm
net920,281.96µm
net1644,281.88µm
net1391,281.8µm
net1739,280.72µm
net42,280.65µm
net670,280.4µm
net849,280.31µm
net1454,279.65µm
clknet_5_3__leaf_clk,278.84µm
net635,278.69µm
net845,278.69µm
net753,278.16µm
_02793_,277.98µm
net1243,277.49µm
net867,277.35µm
net1535,277.23µm
net1279,277.22µm
reorder_buf_instance.value1\[30\],276.96µm
_16750_,276.74µm
net1560,276.69µm
net1671,276.57µm
net2097,276.1µm
_17523_,275.85µm
net945,275.745µm
net1556,275.58µm
net143,275.43µm
_18387_,275.42µm
net1580,275.22µm
net1562,274.95µm
net1085,273.79µm
net350,273.68µm
net861,273.62µm
net576,273.44µm
net1076,273.11µm
net1461,272.8µm
net1640,271.98µm
net825,271.75µm
reorder_buf_instance.value0\[0\],271.7µm
net1189,271.01µm
net1332,271µm
multiplier_instance.PPG.B\[7\],269.16µm
net1429,269µm
net917,268.88µm
net1143,268.79µm
net781,268.64µm
net1172,268.14µm
net1447,267.71µm
net1558,267.41µm
net19,267.4µm
_00843_,267.325µm
net922,266.72µm
net583,266.17µm
net1688,266.04µm
net798,265.87µm
net1115,265.86µm
net1720,265.73µm
_16673_,265.52µm
net1231,264.29µm
_18377_,264.14µm
net1106,264.085µm
multiplier_instance.PPG.A\[5\],263.96µm
net966,263.88µm
net1706,263.8µm
net890,263.65µm
net1567,263.54µm
net716,263.26µm
net688,262.94µm
net1498,262.66µm
_14001_,262.44µm
net873,262.05µm
net1745,261.94µm
net1221,261.62µm
net59,261.33µm
net775,261µm
net1425,260.92µm
clknet_5_14__leaf_clk,260.82µm
net925,260.49µm
net28,260.26µm
net1244,260.16µm
clknet_5_15__leaf_clk,259.96µm
net1274,259.66µm
net701,259.58µm
net1469,259.56µm
net943,259.38µm
net662,259.02µm
clknet_5_7__leaf_clk,258.94µm
net45,258.62µm
net857,258.49µm
net1674,258.44µm
net36,257.5µm
net794,257.33µm
net29,257.24µm
net1242,256.47µm
net328,255.585µm
_16717_,255.54µm
net620,255.515µm
net652,255.4µm
net248,255.09µm
net1603,254.46µm
net579,254.4µm
net1635,254.29µm
_11434_,254.2µm
net740,254.13µm
net976,254.04µm
net1534,253.82µm
net32,253.43µm
net1168,253.23µm
net1245,252.34µm
net1139,251.64µm
net1383,251.55µm
_06403_,251.51µm
net1352,251.23µm
net1028,251.12µm
_16706_,250.8µm
_00071_,250.69µm
net1100,250.595µm
net30,250.38µm
net1422,250.26µm
net1479,250.25µm
net685,250.01µm
net1056,249.48µm
net612,249.24µm
net1446,249.24µm
net681,249.12µm
net970,248.94µm
net1290,248.78µm
net743,248.32µm
net605,248.15µm
net264,248µm
_18394_,247.89µm
net984,247.66µm
net1462,247.65µm
reorder_buf_instance.value2\[1\],247.33µm
multiplier_instance.PPG.B\[0\],245.86µm
net61,245.81µm
net1390,245.56µm
net597,244.99µm
net986,244.78µm
net1413,244.5µm
net777,243.92µm
net1500,243.65µm
net1490,243.6µm
net1018,243.32µm
net1038,243.3µm
net1264,242.785µm
reorder_buf_instance.value0\[31\],242.69µm
add_sign,242.54µm
net785,242.435µm
net1162,242.39µm
net1281,241.22µm
net1180,241.05µm
net693,240.13µm
net563,239.93µm
net49,239.89µm
net1488,239.88µm
net1280,239.18µm
net1042,239.16µm
clknet_5_22__leaf_clk,239.01µm
net1256,239µm
net1546,238.98µm
net1267,238.9µm
_10678_,238.36µm
net862,238.02µm
net915,237.34µm
net710,236.98µm
net1050,236.93µm
net1612,236.76µm
net1659,236.66µm
net725,235.93µm
net18,235.79µm
net1251,235.305µm
net1185,235.24µm
net1309,234.44µm
net1082,234.19µm
net671,234.17µm
net595,234.135µm
net1178,233.42µm
net138,233.28µm
net1026,233.28µm
net1278,233.28µm
_16739_,233.18µm
net1517,232.96µm
net898,232.91µm
net871,232.395µm
net1208,232.18µm
net1060,231.98µm
clknet_5_27__leaf_clk,231.78µm
net1157,231.48µm
net607,231.18µm
net56,230.72µm
net692,230.335µm
_16574_,229.9µm
net1146,229.88µm
net991,229.82µm
_16794_,229.7µm
net1077,229.36µm
reorder_buf_instance.value0\[9\],229.35µm
net650,229.31µm
net1204,228.84µm
net1194,228.66µm
clknet_5_4__leaf_clk,228.14µm
net24,228.12µm
_05757_,227.36µm
net60,227.28µm
net1087,226.64µm
clknet_5_13__leaf_clk,226.46µm
net1685,226.18µm
net324,226.13µm
net320,225.82µm
net146,225.76µm
net1171,225.63µm
net1533,225.28µm
net1007,225.12µm
net1416,225.015µm
net1195,224.955µm
net593,224.94µm
net1571,224.92µm
net1379,224.88µm
_16761_,224.66µm
net1800,224.65µm
net1047,224.49µm
net546,224.28µm
net1572,224.27µm
clknet_5_25__leaf_clk,224.09µm
net720,223.46µm
_09872_,223.43µm
net207,223.37µm
net1029,223.06µm
net1080,222.78µm
mult_mantisa\[12\],222.64µm
net1450,222.58µm
net665,222.49µm
net202,222.2µm
clknet_5_19__leaf_clk,222.14µm
net1597,221.72µm
multiplier_instance.PPG.A\[23\],221.64µm
net791,221.62µm
net1049,221.62µm
_02674_,221.6µm
net1134,221.47µm
clknet_5_1__leaf_clk,221.38µm
net1645,221.26µm
net312,221.24µm
net1487,221.1µm
net1623,221.02µm
net173,221µm
net680,221µm
net912,220.91µm
_07515_,220.89µm
net1035,220.73µm
net1187,220.44µm
net591,220.42µm
net1458,220.405µm
_16662_,220.4µm
net174,220.14µm
net1380,219.72µm
_14911_,219.445µm
net974,219.36µm
net1107,219.34µm
net589,219.24µm
net331,219.08µm
net2008,219.06µm
net1207,219.05µm
_18378_,218.93µm
adder_buffer.out\[36\],218.48µm
clknet_5_16__leaf_clk,218.15µm
net1254,218.06µm
net1062,217.84µm
net1403,217.67µm
add_mantisaB\[2\],217.02µm
net1192,216.99µm
net1081,216.85µm
net874,216.605µm
net603,216.43µm
net759,216.13µm
clknet_5_28__leaf_clk,215.76µm
net1159,215.47µm
net1150,215.22µm
net1193,215.015µm
reorder_buf_instance.value0\[17\],215.01µm
net1409,214.91µm
adder_instance.mantisaresult\[43\],214.8µm
net1742,214.72µm
net1935,214.63µm
net534,214.62µm
net256,214.6µm
net1511,214.54µm
net1090,214.44µm
_16640_,213.98µm
multiplier_instance.PPG.A\[3\],213.98µm
net951,213.91µm
net983,213.72µm
net1301,213.6µm
net1096,213.535µm
net699,213.42µm
net52,213.38µm
net1532,212.84µm
net1108,212.835µm
net1053,212.63µm
net1484,212.62µm
net599,212.5µm
net1197,212.43µm
net1011,212.28µm
net1718,212.21µm
net1241,212µm
net571,211.98µm
net1619,211.78µm
net565,211.67µm
net1565,211.02µm
net661,211µm
net639,210.87µm
net841,210.78µm
net1618,210.66µm
net525,210.24µm
net1540,210.06µm
net1257,209.94µm
net333,209.9µm
net742,209.88µm
net1058,209.74µm
net1624,209.72µm
net1510,209.7µm
net171,209.655µm
net1524,209.16µm
net718,209.12µm
net836,208.87µm
net329,208.82µm
net924,208.79µm
net385,208.62µm
net1497,208.54µm
net1593,208.48µm
_10962_,208.31µm
net847,208.2µm
net893,207.99µm
net768,207.9µm
_18379_,207.87µm
net1605,207.38µm
_16530_,207.3µm
net684,207.3µm
clknet_5_2__leaf_clk,206.8µm
multiplier_instance.PPG.A\[15\],206.68µm
reorder_buf_instance.value0\[16\],206.54µm
net1472,206.48µm
net962,206.47µm
net1091,206.38µm
net1440,205.97µm
net1820,205.36µm
net292,205.32µm
_11640_,205µm
net309,204.955µm
net2060,204.88µm
net1031,204.8µm
net542,204.25µm
multiplier_instance.PPG.B\[21\],204.22µm
net1086,203.76µm
net1219,203.56µm
net942,203.43µm
net901,203.04µm
net54,202.85µm
clknet_5_26__leaf_clk,202.74µm
net1099,202.65µm
net914,202.52µm
net947,202.02µm
_12983_,202µm
multiplier_instance.PPG.A\[14\],201.79µm
net50,201.76µm
net1397,201.66µm
net1015,201.54µm
net1066,201.25µm
_03701_,201.18µm
net1529,201.18µm
_21765_,201.06µm
net575,200.87µm
net1306,200.675µm
net1566,200.31µm
reorder_buf_instance.value2\[4\],200µm
net919,199.93µm
reorder_buf_instance.value2\[3\],199.76µm
multiplier_instance.PPG.A\[2\],199.71µm
net2011,199.69µm
net795,199.52µm
net833,199.43µm
net1040,199.3µm
net1097,199.3µm
net1247,199.295µm
net1643,199.24µm
net313,199.135µm
_10918_,199.07µm
_16651_,199.04µm
net1273,198.38µm
net617,197.99µm
net1563,197.96µm
net1727,197.22µm
net41,197.15µm
net1437,197.14µm
net844,196.98µm
net2081,196.86µm
net1072,196.45µm
net1631,196.26µm
net277,196.06µm
net1539,196.01µm
net195,195.895µm
net1764,195.76µm
net33,195.685µm
net779,195.65µm
net696,195.45µm
net821,195.2µm
_14076_,194.97µm
net1519,194.74µm
net1528,194.685µm
net657,194.53µm
net39,194.09µm
net1667,193.87µm
net297,193.79µm
net965,193.78µm
net2112,193.76µm
net1948,193.66µm
net809,193.59µm
net1016,193.52µm
net1613,193.47µm
net555,193.45µm
net1236,193.34µm
_21738_,193.32µm
_16728_,193.28µm
net1073,193.25µm
net47,193.2µm
net704,193.08µm
adder_buffer.out\[31\],192.85µm
net1123,192.66µm
net827,192.56µm
reorder_buf_instance.value0\[12\],192.42µm
net227,192.42µm
clknet_5_17__leaf_clk,191.62µm
net1126,191.6µm
_07733_,191.52µm
net228,191.16µm
net1317,191.11µm
net703,190.84µm
net1044,190.51µm
net1791,190.29µm
_07194_,190.17µm
net707,190.02µm
net1799,189.44µm
net1512,189.22µm
_08679_,189.13µm
net926,189.08µm
net2013,188.94µm
net46,188.65µm
net1074,188.6µm
net387,188.51µm
net1782,188.28µm
net1258,187.94µm
adder_buffer.out\[35\],187.93µm
net587,187.8µm
net987,187.52µm
net1569,187.45µm
reorder_buf_instance.value2\[15\],187.44µm
net1300,187.29µm
net2047,187.15µm
net615,186.69µm
_16783_,186.6µm
net1579,186.49µm
net1807,186.24µm
reorder_buf_instance.value2\[19\],186.2µm
_13999_,186.06µm
net1661,185.85µm
_13365_,185.69µm
net1296,185.5µm
_07370_,185.41µm
net756,185.15µm
net1544,185.03µm
_04567_,185.02µm
net2050,184.88µm
net1518,184.77µm
net2074,184.74µm
net866,184.65µm
net53,184.19µm
net505,183.84µm
net1205,183.64µm
net1025,183.57µm
_14077_,183.52µm
reorder_buf_instance.value2\[16\],183.52µm
net1270,183.49µm
net1988,183.215µm
net1318,183.16µm
net168,183.13µm
net2120,182.96µm
net262,182.68µm
net854,182.55µm
reorder_buf_instance.value2\[13\],182.4µm
net989,182.2µm
net573,182.19µm
net674,182.18µm
net358,181.7µm
net1103,181.31µm
net1884,181.28µm
net1543,181.24µm
net913,181.21µm
net1731,181.16µm
net305,181.06µm
net824,180.92µm
net2084,180.92µm
_14000_,180.84µm
net224,180.76µm
_13981_,180.74µm
net294,180.66µm
_07939_,180.615µm
net669,180.54µm
net623,180.42µm
net860,180.27µm
_11378_,180.26µm
net299,180.24µm
reorder_buf_instance.value2\[12\],180.16µm
net1030,180.14µm
net1494,180.02µm
net1614,179.94µm
_14078_,179.92µm
net1213,179.84µm
net1250,179.78µm
net1804,179.56µm
net643,179.465µm
net1467,179.43µm
net1664,179.42µm
net1051,179.31µm
reorder_buf_instance.value2\[8\],179.29µm
net1486,178.74µm
net1014,178.73µm
net1559,178.7µm
net935,178.46µm
net316,178.32µm
net1932,178.255µm
net561,178.165µm
net939,178µm
net1083,177.8µm
net335,177.7µm
net1890,177.62µm
net749,177.6µm
net1048,177.56µm
net1929,177.4µm
net1411,176.9µm
adder_buffer.out\[32\],176.87µm
net222,176.48µm
net1438,176.32µm
_12985_,176.2µm
adder_instance.mantisaresult\[39\],175.68µm
net1198,175.46µm
net1548,175.36µm
net746,175.26µm
reorder_buf_instance.value0\[4\],175.21µm
net815,175.02µm
net1564,174.86µm
net1109,174.795µm
_11709_,174.62µm
net1024,174.04µm
clknet_5_29__leaf_clk,174.04µm
_10472_,174.02µm
net55,173.96µm
adder_instance.mantisaresult\[42\],173.92µm
net190,173.9µm
net1359,173.86µm
net982,173.72µm
net2059,173.58µm
net1489,173.515µm
net1938,173.51µm
net1650,173.19µm
net366,173.06µm
net990,172.8µm
net1638,172.79µm
net967,172.72µm
_04689_,172.69µm
_10963_,172.59µm
net1215,172.36µm
net941,172.35µm
net856,172.2µm
net619,172.12µm
clknet_5_24__leaf_clk,171.88µm
net1433,171.53µm
