net,length_um
_1979_,62.26µm
_1941_,62.16µm
net750,62.13µm
net108,61.77µm
net39,61.66µm
_1774_,61.58µm
net45,61.44µm
net43,61.1µm
net566,60.92µm
net612,60.75µm
_1769_,60.735µm
_1931_,60.46µm
tail\[2\],60.4µm
_1899_,60.3µm
clknet_leaf_63_clk,59.92µm
net99,59.9µm
net114,59.9µm
net626,59.855µm
net763,59.55µm
net17,59.32µm
_1945_,59.305µm
_1004_,58.98µm
net7,58.78µm
net640,58.63µm
net658,58.63µm
_1834_,58.61µm
net102,58.56µm
net71,58.44µm
net48,58.42µm
_1856_,58.38µm
net34,58.1µm
net746,58.095µm
_1877_,57.76µm
net111,57.65µm
net610,57.2µm
net672,57.14µm
head\[3\],56.78µm
net54,56.23µm
_0632_,55.9µm
net112,55.74µm
net726,55.66µm
clknet_leaf_34_clk,55.44µm
net38,55.22µm
net694,55.165µm
net110,55.04µm
net662,54.95µm
net26,54.42µm
net95,54.4µm
net69,54.34µm
net636,54.21µm
net561,54.14µm
net46,53.98µm
_1369_,53.84µm
clknet_leaf_11_clk,53.8µm
net622,53.78µm
_1227_,53.76µm
_1955_,53.735µm
net761,53.26µm
_0614_,53.24µm
net684,52.995µm
_1073_,52.96µm
_1950_,52.94µm
net63,52.92µm
_1857_,52.8µm
net113,52.8µm
net586,52.795µm
net13,52.63µm
net58,52.6µm
net765,52.16µm
_1875_,51.96µm
_1709_,51.36µm
net580,51.36µm
_0586_,51.28µm
net588,50.93µm
_1513_,50.82µm
net5,50.78µm
net744,50.595µm
net65,50.5µm
_1741_,50.42µm
net80,50.24µm
net666,50.14µm
_1759_,49.965µm
_2013_,49.94µm
net74,49.9µm
net47,49.84µm
_2011_,49.66µm
net77,49.48µm
net98,48.98µm
_1636_,48.88µm
net501,48.66µm
net655,48.62µm
_1920_,48.52µm
clknet_leaf_5_clk,48.38µm
net682,48.28µm
net78,47.98µm
net66,47.9µm
_1143_,47.84µm
clknet_leaf_12_clk,47.44µm
net16,47.36µm
_1069_,47.11µm
_1225_,46.82µm
_1753_,46.64µm
_1751_,46.6µm
_1142_,46.32µm
_0854_,46.16µm
net9,46.04µm
clknet_leaf_28_clk,45.94µm
net41,45.9µm
net738,45.66µm
net87,45.62µm
net90,45.46µm
_1712_,45.26µm
net702,45.175µm
clknet_leaf_61_clk,45.1µm
value0[23],45.01µm
clknet_leaf_42_clk,44.88µm
_1510_,44.84µm
net89,44.58µm
_2048_,44.4µm
net94,43.94µm
_0860_,43.89µm
_1910_,43.8µm
net88,43.56µm
_1438_,43.16µm
net674,43.14µm
_1824_,43.08µm
net752,43.04µm
_1854_,42.98µm
_1836_,42.74µm
_2000_,42.72µm
_0716_,42.62µm
_1786_,42.58µm
net598,42.58µm
net600,42.56µm
_0859_,42.24µm
_1612_,42.22µm
_1739_,42.005µm
net15,42µm
net212,41.98µm
value1[26],41.76µm
_1373_,41.36µm
net753,41.14µm
net106,41.08µm
_0624_,40.92µm
_1006_,40.88µm
_0712_,40.76µm
_1607_,40.66µm
net25,40.54µm
net101,40.47µm
out[2],40.45µm
value2[24],40.33µm
net30,40.06µm
_1848_,39.94µm
_0780_,39.86µm
net62,39.6µm
_1226_,39.52µm
_0865_,39.46µm
_1784_,39.08µm
_1228_,38.6µm
_1790_,38.4µm
clknet_leaf_10_clk,38.305µm
net10,38.28µm
net56,38.28µm
_0641_,38.24µm
clknet_leaf_7_clk,38.2µm
_1822_,38.155µm
net24,37.94µm
_1901_,37.86µm
net42,37.78µm
value1[23],37.69µm
_1888_,37.52µm
_1150_,37.28µm
net142,37.28µm
_0642_,37.14µm
clknet_leaf_29_clk,37.14µm
_1919_,37.08µm
_1993_,37.02µm
_1071_,36.84µm
_0930_,36.78µm
_1788_,36.72µm
_0002_,36.71µm
clknet_leaf_47_clk,36.52µm
_1009_,36.5µm
net37,36.18µm
net131,36.18µm
net560,35.88µm
net97,35.86µm
_1808_,35.76µm
_1617_,35.44µm
_1928_,35.38µm
_0640_,35.04µm
head\[1\],35.04µm
_1002_,34.92µm
value1[2],34.49µm
value2[2],34.27µm
_1507_,34.24µm
_1837_,34.24µm
_1001_,34.2µm
_1332_,34µm
_2064_,34µm
_1827_,33.92µm
out[1],33.67µm
_0637_,33.4µm
_1818_,33.1µm
_1846_,33µm
_2002_,33µm
_1713_,32.8µm
ready_check\[13\],32.8µm
net61,32.7µm
net688,32.515µm
clknet_leaf_24_clk,32.46µm
_1971_,32.4µm
_1816_,32.36µm
value2[30],32.34µm
_1806_,32.22µm
net616,32.21µm
_1912_,31.9µm
_1711_,31.44µm
_0258_,31.285µm
net2,31.16µm
_0584_,31.04µm
_1907_,30.96µm
net23,30.96µm
_1163_,30.9µm
_0863_,30.62µm
_0589_,30.16µm
_1010_,30.12µm
_1957_,30.1µm
_1514_,30.04µm
_0638_,29.925µm
_2004_,29.82µm
_0603_,29.6µm
net33,29.58µm
net50,29.32µm
_1847_,29.18µm
_0759_,29.12µm
_1068_,28.72µm
full,28.68µm
_1162_,28.54µm
_1621_,28.54µm
_1638_,28.52µm
net73,28.52µm
_1940_,28.48µm
net29,28.46µm
_1879_,28.44µm
_1775_,28.2µm
_0627_,28.11µm
_1761_,28.04µm
ready_check\[14\],27.985µm
_1946_,27.96µm
_1803_,27.9µm
_2025_,27.9µm
value0[30],27.58µm
_1640_,27.5µm
_1810_,27.44µm
net146,27.44µm
array\[6\]\[20\],27.4µm
value0[4],27.29µm
value1[30],27.2µm
_0594_,26.98µm
_2035_,26.98µm
value2[23],26.87µm
array\[7\]\[23\],26.705µm
_1458_,26.68µm
array\[15\]\[4\],26.66µm
out[24],26.59µm
head\[0\],26.52µm
_0788_,26.19µm
_0935_,25.88µm
array\[15\]\[23\],25.78µm
value2[15],25.55µm
_1943_,25.52µm
_1914_,25.375µm
_1657_,25.12µm
head\[2\],25.12µm
