Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_194_949,VPWR,li1,444.8200,541.2800,1.353512
FILLER_194_937,VPWR,li1,439.3000,541.2800,1.301618
FILLER_194_925,VPWR,li1,433.7800,541.2800,1.249724
FILLER_194_923,VPWR,li1,430.3300,541.2800,1.202154
FILLER_194_917,VPWR,li1,428.7200,541.2800,1.202154
FILLER_194_905,VPWR,li1,424.5800,541.2800,1.163234
FILLER_194_893,VPWR,li1,419.0600,541.2800,1.111340
FILLER_194_881,VPWR,li1,413.5400,541.2800,1.059446
FILLER_194_869,VPWR,li1,408.0200,541.2800,1.007552
FILLER_194_866,VPWR,li1,404.3400,541.2800,0.972956
FILLER_194_837,VPWR,li1,391.4600,541.2800,0.878599
FILLER_194_801,VPWR,li1,374.6700,541.2800,0.885221
FILLER_194_788,VPWR,li1,369.8400,541.2800,0.913386
FILLER_194_779,VPWR,li1,364.3200,541.2800,0.962406
FILLER_194_770,VPWR,li1,360.1800,541.2800,0.996455
FILLER_194_757,VPWR,li1,353.9700,541.2800,1.093541
FILLER_194_754,VPWR,li1,352.8200,541.2800,1.093541
FILLER_194_740,VPWR,li1,346.1500,541.2800,1.218704
FILLER_194_736,VPWR,li1,345.0000,541.2800,1.218704
FILLER_194_728,VPWR,li1,340.6300,541.2800,1.301468
FILLER_194_713,VPWR,li1,335.3400,541.2800,1.415564
FILLER_194_701,VPWR,li1,330.7400,541.2800,1.519523
FILLER_194_699,VPWR,li1,327.2900,541.2800,1.589822
FILLER_194_693,VPWR,li1,325.6800,541.2800,1.589822
FILLER_194_681,VPWR,li1,321.5400,541.2800,1.595271
FILLER_194_669,VPWR,li1,316.0200,541.2800,1.602538
FILLER_194_657,VPWR,li1,310.5000,541.2800,1.609804
FILLER_194_645,VPWR,li1,304.9800,541.2800,1.617070
FILLER_194_643,VPWR,li1,301.5300,541.2800,1.623731
FILLER_194_637,VPWR,li1,299.9200,541.2800,1.623731
FILLER_194_625,VPWR,li1,295.7800,541.2800,1.629180
FILLER_194_613,VPWR,li1,290.2600,541.2800,1.636447
FILLER_194_601,VPWR,li1,284.7400,541.2800,1.643713
FILLER_194_589,VPWR,li1,279.2200,541.2800,1.650979
FILLER_194_587,VPWR,li1,275.7700,541.2800,1.657640
