net,length_um
_1080_,37.86µm
_1463_,37.77µm
_0299_,37.72µm
_1516_,37.7µm
_0448_,37.42µm
_0714_,37.2µm
_1016_,37.16µm
_1362_,37.14µm
_0664_,37.08µm
_0885_,36.98µm
net197,36.86µm
_1586_,36.84µm
net2,36.76µm
net127,36.715µm
_0722_,36.52µm
_0940_,36.42µm
_1441_,36.34µm
expmiddle\[5\],36.22µm
net33,36.14µm
_0343_,36.03µm
_0742_,35.86µm
_1493_,35.84µm
_1878_,35.84µm
net27,35.84µm
_1236_,35.82µm
_0946_,35.7µm
_1863_,35.54µm
_0541_,35.5µm
_0353_,35.36µm
_0294_,35.28µm
_1319_,35.18µm
_0681_,35.06µm
_1095_,35.06µm
mantisaBshift\[32\],35.02µm
mantisaAshift\[41\],34.94µm
_0508_,34.92µm
net240,34.6µm
_1434_,34.425µm
mantisaB0\[9\],34.36µm
net17,34.36µm
_1005_,34.26µm
_0665_,34.2µm
_0439_,34.12µm
_1513_,34.06µm
net7,33.52µm
net22,33.5µm
mantisaB0\[0\],33.46µm
_1533_,33.4µm
_0346_,33.17µm
_1589_,32.98µm
_0887_,32.92µm
_0601_,32.86µm
_0937_,32.86µm
mantisaBshift\[54\],32.76µm
mantisaBshift\[13\],32.68µm
_1549_,32.56µm
net49,32.56µm
_0374_,32.54µm
_1308_,32.54µm
_0434_,32.48µm
_1788_,32.44µm
_1836_,32.44µm
_1890_,32.4µm
_0705_,32.38µm
_0913_,32.3µm
net303,32.285µm
_1462_,32.28µm
_0220_,32.24µm
_0001_,32.145µm
_0377_,32µm
mantisaBshift\[0\],31.9µm
_0720_,31.74µm
_1585_,31.58µm
mantisaB0\[7\],31.58µm
net275,31.56µm
_1426_,31.52µm
_0929_,31.48µm
_1583_,31.45µm
_0292_,31.42µm
net261,31.38µm
_0355_,31.32µm
_0316_,31.08µm
_1345_,31.02µm
_0442_,30.94µm
_1884_,30.88µm
net11,30.82µm
net10,30.73µm
_0957_,30.64µm
_1892_,30.64µm
net52,30.58µm
_0571_,30.48µm
_1830_,30.34µm
_1686_,30.32µm
_1135_,30.3µm
_0649_,30.12µm
mantisaBshift\[36\],30.1µm
_0252_,30.085µm
_1865_,30.08µm
net99,30.06µm
_1678_,30.02µm
_0528_,29.98µm
_0834_,29.92µm
_0458_,29.83µm
_0238_,29.825µm
_1565_,29.79µm
_0387_,29.74µm
_0470_,29.74µm
_1888_,29.74µm
net47,29.72µm
_0532_,29.7µm
_1839_,29.7µm
_1079_,29.66µm
_0345_,29.62µm
_0607_,29.62µm
_0592_,29.6µm
_0854_,29.4µm
net31,29.38µm
_0923_,29.32µm
clknet_leaf_27_clk,29.32µm
_1871_,29.14µm
_0950_,29.04µm
_1351_,29µm
_0478_,28.88µm
_0307_,28.86µm
_1478_,28.86µm
expmiddlea\[3\],28.84µm
_0393_,28.8µm
net26,28.78µm
clknet_leaf_0_clk,28.75µm
_0341_,28.68µm
_0838_,28.6µm
_1244_,28.56µm
net43,28.54µm
_1382_,28.48µm
_0254_,28.345µm
_0233_,28.285µm
mantisaBshift\[30\],28.2µm
net340,28.14µm
net54,28.08µm
mantisaBshift\[31\],28.075µm
_1530_,28.06µm
_0785_,28.02µm
_1127_,27.78µm
_1447_,27.76µm
_0703_,27.68µm
net161,27.62µm
_0509_,27.6µm
mantisaBshift\[37\],27.6µm
_0229_,27.585µm
_0357_,27.58µm
_1606_,27.56µm
_1690_,27.56µm
net46,27.5µm
net88,27.48µm
expmiddlea\[0\],27.46µm
net86,27.44µm
net297,27.38µm
_1876_,27.34µm
_0429_,27.32µm
_0325_,27.3µm
_1195_,27.24µm
_1247_,27.24µm
_0438_,27.21µm
_1685_,27.12µm
_0255_,27.105µm
_1833_,27.08µm
mantisaBshift\[7\],27.08µm
_0313_,27.06µm
_0403_,26.98µm
_0770_,26.98µm
_1579_,26.96µm
net24,26.74µm
_1450_,26.725µm
net183,26.72µm
net32,26.63µm
_1186_,26.565µm
mantisaB0\[16\],26.4µm
_1864_,26.38µm
_1581_,26.35µm
_1259_,26.34µm
_1289_,26.3µm
_1575_,26.28µm
mantisaBshift\[61\],26.28µm
_1485_,26.24µm
_0401_,26.18µm
_0750_,26.12µm
_1467_,26.1µm
_0245_,26µm
_0228_,25.985µm
_1495_,25.96µm
_0483_,25.88µm
mantisaAshift\[48\],25.87µm
_0828_,25.48µm
mantisaBshift\[15\],25.48µm
_0260_,25.46µm
_0920_,25.42µm
_0823_,25.38µm
mantisaB0\[17\],25.36µm
net36,25.34µm
net256,25.24µm
_1342_,25.18µm
_1692_,25.18µm
_1424_,25.14µm
net318,24.9µm
_1170_,24.86µm
_0872_,24.76µm
_1307_,24.72µm
_1609_,24.64µm
_0909_,24.6µm
_1576_,24.52µm
mantisaB0\[4\],24.44µm
net15,24.395µm
_1481_,24.36µm
_1215_,24.34µm
mantisaB0\[22\],24.27µm
_0364_,24.26µm
net87,24.26µm
_0917_,24.24µm
mantisaBshift\[10\],24.12µm
_1401_,24.1µm
_1427_,24.04µm
_1896_,24µm
mantisaBshift\[28\],23.96µm
_0938_,23.89µm
_0989_,23.88µm
_1708_,23.88µm
_0573_,23.82µm
net382,23.82µm
_0754_,23.8µm
_0334_,23.78µm
_0454_,23.76µm
_1699_,23.76µm
_0552_,23.72µm
_1869_,23.68µm
mantisaBshift\[9\],23.66µm
mantisaBshift\[25\],23.64µm
mantisaBshift\[62\],23.6µm
